"Kategorie";"Schwierigkeit";"Frage";"Antwort"
"Geschichte & Politik";"Leicht";"Wie viele Streifen hat die Flagge der USA?";13
"Geschichte & Politik";"Leicht";"Wie viele Sterne hat die Flagge der USA?";50
"Geschichte & Politik";"Leicht";"Wie viele Jahre dauerte der Erste Weltkrieg?";4
"Geschichte & Politik";"Leicht";"Wie viele Pharaonen namens Tutanchamun gab es?";1
"Geschichte & Politik";"Leicht";"Wie viele Reiter der Apokalypse gibt es?";4
"Geschichte & Politik";"Mittel";"In welchem Jahr landete der erste Mensch auf dem Mond?";1969
"Geschichte & Politik";"Mittel";"Wie viele Jahre war Nelson Mandela im Gefängnis?";27
"Geschichte & Politik";"Mittel";"In welchem Jahr wurde das Römische Reich offiziell geteilt?";395
"Geschichte & Politik";"Mittel";"Wie viele Frauen von Heinrich VIII. wurden hingerichtet?";2
"Geschichte & Politik";"Mittel";"Wie alt wurde die Queen Elizabeth II.?";96
"Geschichte & Politik";"Mittel";"Wie viele US-Präsidenten wurden ermordet?";4
"Geschichte & Politik";"Mittel";"In welchem Jahrhundert fand die Französische Revolution statt?";18
"Geschichte & Politik";"Mittel";"Wie viele Jahre dauerte der Vietnamkrieg ungefähr?";20
"Geschichte & Politik";"Mittel";"Wie viele Jahre war Angela Merkel Bundeskanzlerin?";16
"Geschichte & Politik";"Mittel";"Wie viele Bundeskanzler hatte Deutschland vor Olaf Scholz?";8
"Geschichte & Politik";"Mittel";"In welchem Jahr wurde die Bundesrepublik Deutschland gegründet?";1949
"Geschichte & Politik";"Mittel";"Wie viele Mitgliedstaaten hat die Europäische Union (Stand 2023)?";27
"Schwer";"Geschichte & Politik";"In welchem Jahr fand die Schlacht bei Waterloo statt?";1815
"Schwer";"Geschichte & Politik";"Wie viele Tage dauerte die Kubakrise im Jahr 1962?";13
"Schwer";"Geschichte & Politik";"In welchem Jahr wurde die Magna Carta unterzeichnet?";1215
"Schwer";"Geschichte & Politik";"Wie viele Päpste gab es während des Großen Schismas (gleichzeitig)?";3
"Schwer";"Geschichte & Politik";"Wie viele Samurai umfasste die berühmte Gruppe der ""47 Ronin""?";47
"Schwer";"Geschichte & Politik";"Wie viele Jahre dauerte der Hundertjährige Krieg?";116
"Schwer";"Geschichte & Politik";"In welchem Jahr sank die Titanic?";1912
"Schwer";"Geschichte & Politik";"Wie viele Kreuzzüge gab es insgesamt?";9
"Schwer";"Geschichte & Politik";"Wie viele Atombomben wurden im Zweiten Weltkrieg eingesetzt?";2
"Schwer";"Geschichte & Politik";"Wie viele Menschen starben bei der Französischen Revolution ungefähr (in Tausend)?";40
"Schwer";"Geschichte & Politik";"Wie viele Seiten hatte die Unabhängigkeitserklärung der USA?";1
"Schwer";"Geschichte & Politik";"Wie viele Jahre dauerte die Apartheid in Südafrika?";46
"Wissenschaft & Technik";"Leicht";"Wie viele Megabyte hat ein Gigabyte?";1024
"Wissenschaft & Technik";"Leicht";"Was ist die Ordnungszahl von Sauerstoff im Periodensystem?";8
"Wissenschaft & Technik";"Leicht";"Wie viele Grad hat ein rechter Winkel?";90
"Wissenschaft & Technik";"Leicht";"Wie viele Bits hat ein Byte?";8
"Wissenschaft & Technik";"Leicht";"Wie viele Ventile hat das menschliche Herz?";4
"Wissenschaft & Technik";"Leicht";"Wie viele Zustände kann Wasser annehmen (fest, flüssig, gasförmig)?";3
"Wissenschaft & Technik";"Leicht";"Wie viele Watt hat ein Kilowatt?";1000
"Wissenschaft & Technik";"Leicht";"Wie viele Primärfarben gibt es?";3
"Wissenschaft & Technik";"Leicht";"Wie viele Dimensionen hat ein Quadrat?";2
"Wissenschaft & Technik";"Leicht";"Wie viele Seiten hat ein Dreieck?";3
"Wissenschaft & Technik";"Mittel";"Wie viele Lichtjahre ist Proxima Centauri, der nächste Stern, von der Erde entfernt?";4
"Wissenschaft & Technik";"Mittel";"In welchem Jahr wurde das erste iPhone vorgestellt?";2007
"Wissenschaft & Technik";"Mittel";"Wie viele Ziffern hat die Zahl Pi bis zur 10. Nachkommastelle (3,14...)?";11
"Wissenschaft & Technik";"Mittel";"Wie viele Elemente gibt es im Periodensystem (Stand 2023)?";118
"Wissenschaft & Technik";"Mittel";"Wie viele PS hat ein Formel-1-Auto ungefähr?";1000
"Wissenschaft & Technik";"Mittel";"Wie viele Chromosomen hat ein Mensch?";46
"Wissenschaft & Technik";"Mittel";"Wie viele Hertz hat die Standard-Netzfrequenz in Europa?";50
"Wissenschaft & Technik";"Mittel";"Wie viele Gigabyte Speicher hatte der erste iPod?";5
"Wissenschaft & Technik";"Mittel";"Wie viele Grad Celsius hat kochendes Wasser auf Meereshöhe?";100
"Wissenschaft & Technik";"Mittel";"Wie viele Töne kann das menschliche Ohr unterscheiden?";400000
"Wissenschaft & Technik";"Schwer";"Wie viele Kilometer pro Sekunde beträgt die Lichtgeschwindigkeit im Vakuum ungefähr?";300000
"Wissenschaft & Technik";"Schwer";"Wie viele Transistoren hatte der erste Intel 4004 Prozessor?";2300
"Wissenschaft & Technik";"Schwer";"Wie viele Kilogramm wiegt ein Kubikmeter Wasser?";1000
"Wissenschaft & Technik";"Schwer";"Wie viele Monde hat der Jupiter?";95
"Wissenschaft & Technik";"Schwer";"In welchem Jahr wurde das World Wide Web öffentlich zugänglich?";1991
"Wissenschaft & Technik";"Schwer";"Wie viele Gesetze der Bewegung formulierte Newton?";3
"Wissenschaft & Technik";"Schwer";"Wie viele Gigabyte an Daten speicherte die erste Festplatte?";5
"Wissenschaft & Technik";"Schwer";"Wie viele Atome sind in einem Wassermolekül (H2O)?";3
"Wissenschaft & Technik";"Schwer";"Wie viele Jahre dauert es, bis sich die Erde einmal um die Sonne dreht (in Tagen)?";365
"Wissenschaft & Technik";"Schwer";"Wie viele Dezibel hat ein startender Düsenjet?";140
"Sport";"Leicht";"Wie viele Spieler hat eine Fußballmannschaft auf dem Feld?";11
"Sport";"Leicht";"Wie viele Runden hat ein Boxkampf im Profibereich maximal?";12
"Sport";"Leicht";"Wie viele Löcher hat eine Standard-Golfrunde?";18
"Sport";"Leicht";"Wie viele Spieler hat eine Basketballmannschaft auf dem Feld?";5
"Sport";"Leicht";"Wie viele Kegel gibt es beim Bowling?";10
"Sport";"Leicht";"Wie viele Tore hat ein Handballfeld?";2
"Sport";"Leicht";"Wie viele Karten bekommt ein Spieler beim Skat?";10
"Sport";"Leicht";"Wie viele Spieler hat eine Eishockeymannschaft auf dem Eis?";6
"Sport";"Leicht";"Wie viele Bahnen hat ein olympisches Schwimmbecken?";8
"Sport";"Leicht";"Wie viele Sätze braucht man, um ein Tennis-Match (Herren, Grand Slam) zu gewinnen?";3
"Sport";"Mittel";"Wie viele Kilometer lang ist ein Marathonlauf ungefähr?";42
"Sport";"Mittel";"Wie viele Punkte ist ein Touchdown im American Football wert (ohne Extrapunkt)?";6
"Sport";"Mittel";"Wie viele Felder hat ein Schachbrett?";64
"Sport";"Mittel";"Wie viele Perioden hat ein Eishockeyspiel?";3
"Sport";"Mittel";"Wie viele Spieler hat eine Volleyballmannschaft auf dem Feld?";6
"Sport";"Mittel";"Wie viele Disziplinen hat ein Zehnkampf?";10
"Sport";"Mittel";"Wie viele Punkte gibt es für einen Freiwurf im Basketball?";1
"Sport";"Mittel";"Wie viele rote Bälle gibt es beim Snooker zu Beginn?";15
"Sport";"Mittel";"Wie viele Minuten dauert ein Fußballspiel (ohne Nachspielzeit)?";90
"Sport";"Mittel";"Wie viele Spieler hat eine Baseballmannschaft auf dem Feld?";9
"Sport";"Schwer";"In welchem Jahr fanden die ersten Olympischen Spiele der Neuzeit statt?";1896
"Sport";"Schwer";"Wie viele Weltmeistertitel hat Michael Schumacher in der Formel 1 gewonnen?";7
"Sport";"Schwer";"Wie viele Male hat Roger Federer Wimbledon gewonnen?";8
"Sport";"Schwer";"Wie viele Meter ist der Weltrekord im Stabhochsprung der Männer (in cm)?";624
"Sport";"Schwer";"Wie viele Etappen hat die Tour de France normalerweise?";21
"Sport";"Schwer";"Wie viele Grand-Slam-Titel hat Steffi Graf gewonnen?";22
"Sport";"Schwer";"Wie viele Sekunden war der schnellste Knockout im UFC?";5
"Sport";"Schwer";"Wie viele Tore schoss Gerd Müller für die deutsche Nationalmannschaft?";68
"Sport";"Schwer";"Wie viele Punkte ist ein ""Maximum Break"" im Snooker wert?";147
"Sport";"Schwer";"Wie viele Meisterschaften hat Michael Jordan in der NBA gewonnen?";6
"Film & Fernsehen";"Leicht";"Wie viele ""Stirb Langsam""-Filme mit Bruce Willis gibt es?";5
"Film & Fernsehen";"Leicht";"Wie viele Oscars gewann der Film ""Titanic"" (1997)?";11
"Film & Fernsehen";"Leicht";"Wie viele Staffeln hat die Serie ""Friends""?";10
"Film & Fernsehen";"Leicht";"Wie viele ""Findet Nemo""-Filme gibt es?";2
"Film & Fernsehen";"Leicht";"Wie viele Geister jagen die Ghostbusters im ersten Film?";3
"Film & Fernsehen";"Leicht";"Wie viele Dalmatiener gibt es im berühmten Disney-Film?";101
"Film & Fernsehen";"Leicht";"Wie viele ""Kevin - Allein zu Haus""-Filme gibt es mit Macaulay Culkin?";2
"Film & Fernsehen";"Leicht";"Wie viele ""Men in Black""-Filme mit Will Smith gibt es?";3
"Film & Fernsehen";"Leicht";"Wie viele Mitglieder hat die ""A-Team""-Truppe?";4
"Film & Fernsehen";"Leicht";"Wie viele ""Ocean's""-Filme gibt es mit George Clooney?";3
"Film & Fernsehen";"Mittel";"In welchem Jahr wurde der erste Star Wars Film veröffentlicht?";1977
"Film & Fernsehen";"Mittel";"Wie viele ""Der Herr der Ringe""-Bücher von Tolkien gibt es?";3
"Film & Fernsehen";"Mittel";"Wie viele ""Harry Potter""-Filme gibt es?";8
"Film & Fernsehen";"Mittel";"Wie viele ""James Bond""-Filme mit Daniel Craig gibt es?";5
"Film & Fernsehen";"Mittel";"Wie viele ""Zurück in die Zukunft""-Filme gibt es?";3
"Film & Fernsehen";"Mittel";"Wie viele Staffeln hat ""Game of Thrones""?";8
"Film & Fernsehen";"Mittel";"Wie viele ""Matrix""-Filme gibt es?";4
"Film & Fernsehen";"Mittel";"Wie viele ""Jurassic Park""-Filme gibt es in der Original-Trilogie?";3
"Film & Fernsehen";"Mittel";"Wie viele ""Indiana Jones""-Filme gibt es mit Harrison Ford?";4
"Film & Fernsehen";"Mittel";"Wie viele Staffeln hat ""Breaking Bad""?";5
"Film & Fernsehen";"Schwer";"Wie viele Oscars hat Alfred Hitchcock in seiner Karriere als bester Regisseur gewonnen?";0
"Film & Fernsehen";"Schwer";"Wie viele Minuten dauert der längste je veröffentlichte Film ""Logistics""?";51420
"Film & Fernsehen";"Schwer";"Wie viele James-Bond-Darsteller gab es offiziell bis 2021?";6
"Film & Fernsehen";"Schwer";"Wie viele Sprechrollen hat Arnold Schwarzenegger im ersten Terminator-Film?";17
"Film & Fernsehen";"Schwer";"In welchem Jahr wurde die erste Folge der Simpsons ausgestrahlt?";1989
"Film & Fernsehen";"Schwer";"Wie viele Finger hat Micky Maus an einer Hand?";4
"Film & Fernsehen";"Schwer";"Wie viele Oscars gewann der Film ""Ben Hur"" (1959)?";11
"Film & Fernsehen";"Schwer";"Wie viele ""Der Pate""-Filme gibt es?";3
"Film & Fernsehen";"Schwer";"Wie viele ""Rocky""-Filme gibt es?";6
"Film & Fernsehen";"Schwer";"Wie viele Emmys hat die Serie ""The Sopranos"" gewonnen?";21
"Musik";"Leicht";"Wie viele Saiten hat eine Standard-Gitarre?";6
"Musik";"Leicht";"Wie viele Mitglieder hatten die Beatles?";4
"Musik";"Leicht";"Wie viele Linien hat eine Notenzeile?";5
"Musik";"Leicht";"Wie viele ""Ärzte"" gibt es in der Band?";3
"Musik";"Leicht";"Wie viele Mitglieder hat die Band ABBA?";4
"Musik";"Leicht";"Wie viele ""Toten Hosen"" gibt es in der Band?";5
"Musik";"Leicht";"Wie viele Noten hat eine Oktave (einschließlich Halbtönen)?";12
"Musik";"Leicht";"Wie viele ""Fantastischen Vier"" gibt es?";4
"Musik";"Leicht";"Wie viele Tenöre waren ""Die drei Tenöre""?";3
"Musik";"Leicht";"Wie viele Saiten hat eine Violine?";4
"Musik";"Mittel";"Wie viele Tasten hat ein Standard-Klavier?";88
"Musik";"Mittel";"In welchem Jahr starb Freddie Mercury?";1991
"Musik";"Mittel";"Wie viele Sinfonien hat Beethoven komponiert?";9
"Musik";"Mittel";"Wie viele Wochen stand ""Last Christmas"" in Deutschland auf Platz 1 der Charts?";0
"Musik";"Mittel";"Wie viele Studioalben haben die Rolling Stones veröffentlicht?";26
"Musik";"Mittel";"Wie viele Platten verkaufte Michael Jackson's ""Thriller"" (in Millionen)?";70
"Musik";"Mittel";"In welchem Jahr wurde MTV gegründet?";1981
"Musik";"Mittel";"Wie viele Mitglieder hat die Band ""U2""?";4
"Musik";"Mittel";"Wie viele Alben veröffentlichte Nirvana?";3
"Musik";"Mittel";"In welchem Alter starb Kurt Cobain?";27
"Musik";"Schwer";"Wie viele Alben hat Elvis Presley zu Lebzeiten veröffentlicht?";23
"Musik";"Schwer";"Wie viele Opern hat Mozart komponiert?";22
"Musik";"Schwer";"In welchem Jahr fand das Woodstock-Festival statt?";1969
"Musik";"Schwer";"Wie viele Grammys hat Michael Jackson gewonnen?";13
"Musik";"Schwer";"Wie viele Tasten hat eine Kirchenorgel ungefähr?";61
"Musik";"Schwer";"Wie viele Mitglieder hatte die Band ""Queen""?";4
"Musik";"Schwer";"Wie viele Wochen war ""Bohemian Rhapsody"" in Großbritannien auf Platz 1?";9
"Musik";"Schwer";"Wie viele Platten verkaufte ""The Dark Side of the Moon"" von Pink Floyd (in Millionen)?";45
"Musik";"Schwer";"Wie viele Oktaven umfasst eine menschliche Stimme im Durchschnitt?";2
"Musik";"Schwer";"Wie viele Stücke enthält Bachs ""Wohltemperiertes Klavier""?";48
"Alltagswissen";"Leicht";"Wie viele Wochen hat ein Jahr?";52
"Alltagswissen";"Leicht";"Wie viele Minuten hat eine Stunde?";60
"Alltagswissen";"Leicht";"Wie viele Seiten hat ein Standard-Kartenspiel (ohne Joker)?";52
"Alltagswissen";"Leicht";"Wie viele Eier sind in einem Dutzend?";12
"Alltagswissen";"Leicht";"Wie viele Stunden hat ein Tag?";24
"Alltagswissen";"Leicht";"Wie viele Monate hat ein Jahr?";12
"Alltagswissen";"Leicht";"Wie viele Tage hat eine Woche?";7
"Alltagswissen";"Leicht";"Wie viele Ziffern hat eine Telefon-Vorwahl in Deutschland?";3
"Alltagswissen";"Leicht";"Wie viele Buchstaben hat das deutsche Alphabet?";26
"Alltagswissen";"Leicht";"Wie viele Umlaute gibt es im Deutschen?";3
"Alltagswissen";"Mittel";"Wie viele Grad Celsius beträgt der absolute Nullpunkt?";-273
"Alltagswissen";"Mittel";"Wie viele Ziffern hat eine deutsche IBAN?";22
"Alltagswissen";"Mittel";"Wie viele Ecken hat ein Stoppschild?";8
"Alltagswissen";"Mittel";"Wie viele Tasten hat eine deutsche Computertastatur ungefähr?";105
"Alltagswissen";"Mittel";"Wie viele Zeichen darf eine SMS maximal haben?";160
"Alltagswissen";"Mittel";"Wie viele Jahre dauert eine ""Silberne Hochzeit""?";25
"Alltagswissen";"Mittel";"Wie viele Ziffern hat eine deutsche Postleitzahl?";5
"Alltagswissen";"Mittel";"Wie viele Steuernummern hat eine Person in Deutschland?";1
"Alltagswissen";"Mittel";"Wie viele Tage hat der Februar in einem Schaltjahr?";29
"Alltagswissen";"Mittel";"Wie viele Zentimeter hat ein Meter?";100
"Alltagswissen";"Schwer";"Wie viele verschiedene Euro-Münzen gibt es?";8
"Alltagswissen";"Schwer";"Wie viele Jahre dauert eine ""Diamantene Hochzeit""?";60
"Alltagswissen";"Schwer";"Wie viele Millimeter hat ein Zoll?";25
"Alltagswissen";"Schwer";"Wie viele Quadrate hat ein Rubik's Cube?";54
"Alltagswissen";"Schwer";"Wie viele Jahre dauert eine ""Goldene Hochzeit""?";50
"Alltagswissen";"Schwer";"Wie viele Sekunden hat ein Tag?";86400
"Alltagswissen";"Schwer";"Wie viele Milliliter sind in einem Liter?";1000
"Alltagswissen";"Schwer";"Wie viele verschiedene Blutgruppen gibt es im AB0-System?";4
"Alltagswissen";"Schwer";"Wie viele Zähne hat ein Milchgebiss?";20
"Alltagswissen";"Schwer";"Wie viele Zeitzonen gibt es auf der Welt?";24
"Literatur & Bücher";"Leicht";"Wie viele Harry-Potter-Bücher gibt es?";7
"Literatur & Bücher";"Leicht";"Wie viele Zwerge begleiten Bilbo Beutlin in ""Der Hobbit""?";13
"Literatur & Bücher";"Leicht";"Wie viele Musketiere gibt es in Dumas' Roman?";3
"Literatur & Bücher";"Leicht";"Wie viele Teile hat die ""Tribute von Panem""-Trilogie?";3
"Literatur & Bücher";"Leicht";"Wie viele ""Die drei ??? ""-Detektive gibt es?";3
"Literatur & Bücher";"Leicht";"Wie viele Gesetze der Robotik gibt es bei Asimov?";3
"Literatur & Bücher";"Leicht";"Wie viele ""Chroniken von Narnia""-Bücher gibt es?";7
"Literatur & Bücher";"Leicht";"Wie viele ""Bände"" hat die Bibel?";2
"Literatur & Bücher";"Leicht";"Wie viele Akte hat ein klassisches Drama?";5
"Literatur & Bücher";"Mittel";"In welchem Jahr wurde Shakespeares ""Hamlet"" ungefähr zum ersten Mal aufgeführt?";1601
"Literatur & Bücher";"Mittel";"Wie viele Kreise der Hölle beschreibt Dante in seiner ""Göttlichen Komödie""?";9
"Literatur & Bücher";"Mittel";"Wie viele Seiten hat die deutsche Erstausgabe von ""Krieg und Frieden"" ungefähr?";2100
"Literatur & Bücher";"Mittel";"Wie viele ""Sherlock Holmes""-Romane hat Arthur Conan Doyle geschrieben?";4
"Literatur & Bücher";"Mittel";"Wie viele ""Narnia""-Bücher gibt es?";7
"Literatur & Bücher";"Mittel";"Wie viele ""Tintenwelt""-Bücher von Cornelia Funke gibt es?";3
"Literatur & Bücher";"Mittel";"Wie viele ""Die unendliche Geschichte""-Bücher von Michael Ende gibt es?";1
"Literatur & Bücher";"Mittel";"Wie viele Zeilen hat ein Sonett?";14
"Literatur & Bücher";"Mittel";"Wie viele ""Die Säulen der Erde""-Bücher von Ken Follett gibt es?";4
"Literatur & Bücher";"Schwer";"Wie viele Bände umfasst das ""Oxford English Dictionary"" in seiner vollständigen gedruckten Ausgabe?";20
"Literatur & Bücher";"Schwer";"Wie viele Zeilen hat Dantes ""Göttliche Komödie"" ungefähr?";14233
"Literatur & Bücher";"Schwer";"In welchem Jahr wurde der erste ""Duden"" veröffentlicht?";1880
"Literatur & Bücher";"Schwer";"Wie viele ""Asterix""-Bände wurden zu Lebzeiten von Goscinny veröffentlicht?";24
"Literatur & Bücher";"Schwer";"Wie viele Werke umfasst Balzacs ""Menschliche Komödie""?";91
"Literatur & Bücher";"Schwer";"Wie viele Romane hat Jane Austen veröffentlicht?";6
"Literatur & Bücher";"Schwer";"Wie viele ""Ulysses""-Kapitel von James Joyce gibt es?";18
"Literatur & Bücher";"Schwer";"Wie viele Jahre schrieb Goethe am ""Faust""?";60
"Essen & Trinken";"Leicht";"Wie viele Zutaten hat eine klassische Margarita Pizza?";3
"Essen & Trinken";"Leicht";"Wie viele Liter Wasser sollte man pro Tag ungefähr trinken?";2
"Essen & Trinken";"Leicht";"Wie viele Kammern hat der Magen einer Kuh?";4
"Essen & Trinken";"Leicht";"Wie viele Hauptzutaten hat ein Bienenstich-Kuchen?";5
"Essen & Trinken";"Leicht";"Wie viele Blätter hat ein Bund Petersilie ungefähr?";50
"Essen & Trinken";"Leicht";"Wie viele Gänge hat ein klassisches Menü?";3
"Essen & Trinken";"Leicht";"Wie viele Eier passen in einen Standard-Eierkarton?";10
"Essen & Trinken";"Leicht";"Wie viele Scheiben hat eine durchschnittliche Salami?";20
"Essen & Trinken";"Leicht";"Wie viele Sorten ""Haribo Goldbären"" gibt es?";6
"Essen & Trinken";"Mittel";"Wie viele verschiedene Biersorten gibt es in Deutschland ungefähr?";5000
"Essen & Trinken";"Mittel";"Wie viele Kalorien hat ein Big Mac ungefähr?";500
"Essen & Trinken";"Mittel";"Wie viele Scoville-Einheiten hat eine Jalapeño-Schote ungefähr?";5000
"Essen & Trinken";"Mittel";"Wie viele Kräuter sind in der ""Frankfurter Grünen Soße""?";7
"Essen & Trinken";"Mittel";"Wie viele Eigelb braucht man für eine klassische Carbonara für 4 Personen?";4
"Essen & Trinken";"Mittel";"Wie viele Vitamine gibt es?";13
"Essen & Trinken";"Mittel";"Wie viele Prozent Alkohol hat ein durchschnittliches Pils?";5
"Essen & Trinken";"Mittel";"Wie viele Tassen Kaffee trinkt ein Deutscher pro Jahr im Durchschnitt?";168
"Essen & Trinken";"Mittel";"Wie viele Zähne hat eine Knoblauchknolle ungefähr?";10
"Essen & Trinken";"Schwer";"Wie viele Kilo wiegt der schwerste Kürbis der Welt ungefähr?";1226
"Essen & Trinken";"Schwer";"In welchem Jahr wurde Coca-Cola erfunden?";1886
"Essen & Trinken";"Schwer";"Wie viele Michelin-Sterne kann ein Restaurant maximal erhalten?";3
"Essen & Trinken";"Schwer";"Wie viele Jahre reift ein Aceto Balsamico Tradizionale mindestens?";12
"Essen & Trinken";"Schwer";"Wie viele Kaffeesorten gibt es weltweit ungefähr?";120
"Essen & Trinken";"Schwer";"Wie viele Kilogramm wiegt der teuerste Käse der Welt (Pule)?";1000
"Essen & Trinken";"Schwer";"Wie viele Gewürze sind in der originalen Coca-Cola-Formel?";7
"Essen & Trinken";"Schwer";"Wie viele Liter Bier werden auf dem Oktoberfest pro Jahr ausgeschenkt (in Millionen)?";7
"Videospiele & Gaming";"Leicht";"Wie viele Leben hat Mario zu Beginn eines Spiels?";3
"Videospiele & Gaming";"Leicht";"Wie viele Blöcke breit ist ein Standard-Tetris-Feld?";10
"Videospiele & Gaming";"Leicht";"Wie viele ""Welten"" gibt es in Super Mario Bros.?";8
"Videospiele & Gaming";"Leicht";"Wie viele Spieler können an einer Nintendo Switch gleichzeitig spielen?";8
"Videospiele & Gaming";"Leicht";"Wie viele Tasten hat ein NES-Controller?";8
"Videospiele & Gaming";"Leicht";"Wie viele Geister gibt es in Pac-Man?";4
"Videospiele & Gaming";"Leicht";"Wie viele ""Sims""-Hauptspiele gibt es?";4
"Videospiele & Gaming";"Leicht";"Wie viele ""Fallout""-Hauptspiele gibt es?";5
"Videospiele & Gaming";"Leicht";"Wie viele ""Grand Theft Auto""-Hauptspiele gibt es?";5
"Videospiele & Gaming";"Mittel";"Wie viele Tasten hat ein klassischer PlayStation-Controller (ohne Sticks)?";14
"Videospiele & Gaming";"Mittel";"In welchem Jahr wurde das erste ""The Legend of Zelda"" veröffentlicht?";1986
"Videospiele & Gaming";"Mittel";"Wie viele ursprüngliche Pokémon gab es in der ersten Generation?";151
